#,"Register Name","Register Address","Field Name","Field Bit Position","Default Value",Property,"No Test","Read Data",Result
FIELD,,,reg128_f2,[21:12],0,,,,
FIELD,,,reg128_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg129,0x00000408,,,,,,,
FIELD,,,reg129_f1,31,1,,,,
FIELD,,,reg129_f2,30,1,,,,
FIELD,,,reg129_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg130,0x00000410,,,,,,,
FIELD,,,reg130_f1,[31:30],2'b0,RO,,,
FIELD,,,reg130_f2,29,1,RO,,,
FIELD,,,reg130_f3,28,1,RO,,,
FIELD,,,reg130_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg131,0x00000418,,,,,,,
FIELD,,,reg131_f1,[31:28],4'b0,,,,
FIELD,,,reg131_f2,27,1'b0,,,,
FIELD,,,reg131_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg132,0x00000420,,,,,,,
FIELD,,,reg132_f1,[31:30],1'b1,RO,,,
FIELD,,,reg132_f2,[29:15],0,,,,
FIELD,,,reg132_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg133,0x00000428,,,,,,,
FIELD,,,reg133_f1,[31:16],1'b1,,,,
FIELD,,,reg133_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg134,0x00000430,,,,,,,
FIELD,,,reg134_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg135,0x00000438,,,,,,,
FIELD,,,reg135_f1,31,0,,,,
FIELD,,,reg135_f2,[28:26],2,,,,
FIELD,,,reg135_f3,[25:19],83,,,,
FIELD,,,reg135_f4,[18:6],3072,,,,
FIELD,,,reg135_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg136,0x00000440,,,,,,,
FIELD,,,reg136_f1,31,0,,,,
FIELD,,,reg136_f2,30,1,,,,
FIELD,,,reg136_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg137,0x00000448,,,,,,,
FIELD,,,reg137_f1,[31:24],0,WO,,,
FIELD,,,reg137_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg138,0x00000450,,,,,,,
FIELD,,,reg138_f1,[31:22],0,,,,
FIELD,,,reg138_f2,[21:12],0,,,,
FIELD,,,reg138_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg139,0x00000458,,,,,,,
FIELD,,,reg139_f1,31,1,,,,
FIELD,,,reg139_f2,30,1,,,,
FIELD,,,reg139_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg140,0x00000460,,,,,,,
FIELD,,,reg140_f1,[31:30],2'b0,RO,,,
FIELD,,,reg140_f2,29,1,RO,,,
FIELD,,,reg140_f3,28,1,RO,,,
FIELD,,,reg140_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg141,0x00000468,,,,,,,
FIELD,,,reg141_f1,[31:28],4'b0,,,,
FIELD,,,reg141_f2,27,1'b0,,,,
FIELD,,,reg141_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg142,0x00000470,,,,,,,
FIELD,,,reg142_f1,[31:30],1'b1,RO,,,
FIELD,,,reg142_f2,[29:15],0,,,,
FIELD,,,reg142_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg143,0x00000478,,,,,,,
FIELD,,,reg143_f1,[31:16],1'b1,,,,
FIELD,,,reg143_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg144,0x00000480,,,,,,,
FIELD,,,reg144_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg145,0x00000488,,,,,,,
FIELD,,,reg145_f1,31,0,,,,
FIELD,,,reg145_f2,[28:26],2,,,,
FIELD,,,reg145_f3,[25:19],83,,,,
FIELD,,,reg145_f4,[18:6],3072,,,,
FIELD,,,reg145_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg146,0x00000490,,,,,,,
FIELD,,,reg146_f1,31,0,,,,
FIELD,,,reg146_f2,30,1,,,,
FIELD,,,reg146_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg147,0x00000498,,,,,,,
FIELD,,,reg147_f1,[31:24],0,WO,,,
FIELD,,,reg147_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg148,0x000004a0,,,,,,,
FIELD,,,reg148_f1,[31:22],0,,,,
FIELD,,,reg148_f2,[21:12],0,,,,
FIELD,,,reg148_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg149,0x000004a8,,,,,,,
FIELD,,,reg149_f1,31,1,,,,
FIELD,,,reg149_f2,30,1,,,,
FIELD,,,reg149_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg150,0x000004b0,,,,,,,
FIELD,,,reg150_f1,[31:30],2'b0,RO,,,
FIELD,,,reg150_f2,29,1,RO,,,
FIELD,,,reg150_f3,28,1,RO,,,
FIELD,,,reg150_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg151,0x000004b8,,,,,,,
FIELD,,,reg151_f1,[31:28],4'b0,,,,
FIELD,,,reg151_f2,27,1'b0,,,,
FIELD,,,reg151_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg152,0x000004c0,,,,,,,
FIELD,,,reg152_f1,[31:30],1'b1,RO,,,
FIELD,,,reg152_f2,[29:15],0,,,,
FIELD,,,reg152_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg153,0x000004c8,,,,,,,
FIELD,,,reg153_f1,[31:16],1'b1,,,,
FIELD,,,reg153_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg154,0x000004d0,,,,,,,
FIELD,,,reg154_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg155,0x000004d8,,,,,,,
FIELD,,,reg155_f1,31,0,,,,
FIELD,,,reg155_f2,[28:26],2,,,,
FIELD,,,reg155_f3,[25:19],83,,,,
FIELD,,,reg155_f4,[18:6],3072,,,,
FIELD,,,reg155_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg156,0x000004e0,,,,,,,
FIELD,,,reg156_f1,31,0,,,,
FIELD,,,reg156_f2,30,1,,,,
FIELD,,,reg156_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg157,0x000004e8,,,,,,,
FIELD,,,reg157_f1,[31:24],0,WO,,,
FIELD,,,reg157_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg158,0x000004f0,,,,,,,
FIELD,,,reg158_f1,[31:22],0,,,,
FIELD,,,reg158_f2,[21:12],0,,,,
FIELD,,,reg158_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg159,0x000004f8,,,,,,,
FIELD,,,reg159_f1,31,1,,,,
FIELD,,,reg159_f2,30,1,,,,
FIELD,,,reg159_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg160,0x00000500,,,,,,,
FIELD,,,reg160_f1,[31:30],2'b0,RO,,,
FIELD,,,reg160_f2,29,1,RO,,,
FIELD,,,reg160_f3,28,1,RO,,,
FIELD,,,reg160_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg161,0x00000508,,,,,,,
FIELD,,,reg161_f1,[31:28],4'b0,,,,
FIELD,,,reg161_f2,27,1'b0,,,,
FIELD,,,reg161_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg162,0x00000510,,,,,,,
FIELD,,,reg162_f1,[31:30],1'b1,RO,,,
FIELD,,,reg162_f2,[29:15],0,,,,
FIELD,,,reg162_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg163,0x00000518,,,,,,,
FIELD,,,reg163_f1,[31:16],1'b1,,,,
FIELD,,,reg163_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg164,0x00000520,,,,,,,
FIELD,,,reg164_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg165,0x00000528,,,,,,,
FIELD,,,reg165_f1,31,0,,,,
FIELD,,,reg165_f2,[28:26],2,,,,
FIELD,,,reg165_f3,[25:19],83,,,,
FIELD,,,reg165_f4,[18:6],3072,,,,
FIELD,,,reg165_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg166,0x00000530,,,,,,,
FIELD,,,reg166_f1,31,0,,,,
FIELD,,,reg166_f2,30,1,,,,
FIELD,,,reg166_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg167,0x00000538,,,,,,,
FIELD,,,reg167_f1,[31:24],0,WO,,,
FIELD,,,reg167_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg168,0x00000540,,,,,,,
FIELD,,,reg168_f1,[31:22],0,,,,
FIELD,,,reg168_f2,[21:12],0,,,,
FIELD,,,reg168_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg169,0x00000548,,,,,,,
FIELD,,,reg169_f1,31,1,,,,
FIELD,,,reg169_f2,30,1,,,,
FIELD,,,reg169_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg170,0x00000550,,,,,,,
FIELD,,,reg170_f1,[31:30],2'b0,RO,,,
FIELD,,,reg170_f2,29,1,RO,,,
FIELD,,,reg170_f3,28,1,RO,,,
FIELD,,,reg170_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg171,0x00000558,,,,,,,
FIELD,,,reg171_f1,[31:28],4'b0,,,,
FIELD,,,reg171_f2,27,1'b0,,,,
FIELD,,,reg171_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg172,0x00000560,,,,,,,
FIELD,,,reg172_f1,[31:30],1'b1,RO,,,
FIELD,,,reg172_f2,[29:15],0,,,,
FIELD,,,reg172_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg173,0x00000568,,,,,,,
FIELD,,,reg173_f1,[31:16],1'b1,,,,
FIELD,,,reg173_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg174,0x00000570,,,,,,,
FIELD,,,reg174_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg175,0x00000578,,,,,,,
FIELD,,,reg175_f1,31,0,,,,
FIELD,,,reg175_f2,[28:26],2,,,,
FIELD,,,reg175_f3,[25:19],83,,,,
FIELD,,,reg175_f4,[18:6],3072,,,,
FIELD,,,reg175_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg176,0x00000580,,,,,,,
FIELD,,,reg176_f1,31,0,,,,
FIELD,,,reg176_f2,30,1,,,,
FIELD,,,reg176_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg177,0x00000588,,,,,,,
FIELD,,,reg177_f1,[31:24],0,WO,,,
FIELD,,,reg177_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg178,0x00000590,,,,,,,
FIELD,,,reg178_f1,[31:22],0,,,,
FIELD,,,reg178_f2,[21:12],0,,,,
FIELD,,,reg178_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg179,0x00000598,,,,,,,
FIELD,,,reg179_f1,31,1,,,,
FIELD,,,reg179_f2,30,1,,,,
FIELD,,,reg179_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg180,0x000005a0,,,,,,,
FIELD,,,reg180_f1,[31:30],2'b0,RO,,,
FIELD,,,reg180_f2,29,1,RO,,,
FIELD,,,reg180_f3,28,1,RO,,,
FIELD,,,reg180_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg181,0x000005a8,,,,,,,
FIELD,,,reg181_f1,[31:28],4'b0,,,,
FIELD,,,reg181_f2,27,1'b0,,,,
FIELD,,,reg181_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg182,0x000005b0,,,,,,,
FIELD,,,reg182_f1,[31:30],1'b1,RO,,,
FIELD,,,reg182_f2,[29:15],0,,,,
FIELD,,,reg182_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg183,0x000005b8,,,,,,,
FIELD,,,reg183_f1,[31:16],1'b1,,,,
FIELD,,,reg183_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg184,0x000005c0,,,,,,,
FIELD,,,reg184_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg185,0x000005c8,,,,,,,
FIELD,,,reg185_f1,31,0,,,,
FIELD,,,reg185_f2,[28:26],2,,,,
FIELD,,,reg185_f3,[25:19],83,,,,
FIELD,,,reg185_f4,[18:6],3072,,,,
FIELD,,,reg185_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg186,0x000005d0,,,,,,,
FIELD,,,reg186_f1,31,0,,,,
FIELD,,,reg186_f2,30,1,,,,
FIELD,,,reg186_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg187,0x000005d8,,,,,,,
FIELD,,,reg187_f1,[31:24],0,WO,,,
FIELD,,,reg187_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg188,0x000005e0,,,,,,,
FIELD,,,reg188_f1,[31:22],0,,,,
FIELD,,,reg188_f2,[21:12],0,,,,
FIELD,,,reg188_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg189,0x000005e8,,,,,,,
FIELD,,,reg189_f1,31,1,,,,
FIELD,,,reg189_f2,30,1,,,,
FIELD,,,reg189_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg190,0x000005f0,,,,,,,
FIELD,,,reg190_f1,[31:30],2'b0,RO,,,
FIELD,,,reg190_f2,29,1,RO,,,
FIELD,,,reg190_f3,28,1,RO,,,
FIELD,,,reg190_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg191,0x000005f8,,,,,,,
FIELD,,,reg191_f1,[31:28],4'b0,,,,
FIELD,,,reg191_f2,27,1'b0,,,,
FIELD,,,reg191_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg192,0x00000600,,,,,,,
FIELD,,,reg192_f1,[31:30],1'b1,RO,,,
FIELD,,,reg192_f2,[29:15],0,,,,
FIELD,,,reg192_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg193,0x00000608,,,,,,,
FIELD,,,reg193_f1,[31:16],1'b1,,,,
FIELD,,,reg193_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg194,0x00000610,,,,,,,
FIELD,,,reg194_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg195,0x00000618,,,,,,,
FIELD,,,reg195_f1,31,0,,,,
FIELD,,,reg195_f2,[28:26],2,,,,
FIELD,,,reg195_f3,[25:19],83,,,,
FIELD,,,reg195_f4,[18:6],3072,,,,
FIELD,,,reg195_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg196,0x00000620,,,,,,,
FIELD,,,reg196_f1,31,0,,,,
FIELD,,,reg196_f2,30,1,,,,
FIELD,,,reg196_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg197,0x00000628,,,,,,,
FIELD,,,reg197_f1,[31:24],0,WO,,,
FIELD,,,reg197_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg198,0x00000630,,,,,,,
FIELD,,,reg198_f1,[31:22],0,,,,
FIELD,,,reg198_f2,[21:12],0,,,,
FIELD,,,reg198_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg199,0x00000638,,,,,,,
FIELD,,,reg199_f1,31,1,,,,
FIELD,,,reg199_f2,30,1,,,,
FIELD,,,reg199_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg200,0x00000640,,,,,,,
FIELD,,,reg200_f1,[31:30],2'b0,RO,,,
FIELD,,,reg200_f2,29,1,RO,,,
FIELD,,,reg200_f3,28,1,RO,,,
FIELD,,,reg200_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg201,0x00000648,,,,,,,
FIELD,,,reg201_f1,[31:28],4'b0,,,,
FIELD,,,reg201_f2,27,1'b0,,,,
FIELD,,,reg201_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg202,0x00000650,,,,,,,
FIELD,,,reg202_f1,[31:30],1'b1,RO,,,
FIELD,,,reg202_f2,[29:15],0,,,,
FIELD,,,reg202_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg203,0x00000658,,,,,,,
FIELD,,,reg203_f1,[31:16],1'b1,,,,
FIELD,,,reg203_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg204,0x00000660,,,,,,,
FIELD,,,reg204_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg205,0x00000668,,,,,,,
FIELD,,,reg205_f1,31,0,,,,
FIELD,,,reg205_f2,[28:26],2,,,,
FIELD,,,reg205_f3,[25:19],83,,,,
FIELD,,,reg205_f4,[18:6],3072,,,,
FIELD,,,reg205_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg206,0x00000670,,,,,,,
FIELD,,,reg206_f1,31,0,,,,
FIELD,,,reg206_f2,30,1,,,,
FIELD,,,reg206_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg207,0x00000678,,,,,,,
FIELD,,,reg207_f1,[31:24],0,WO,,,
FIELD,,,reg207_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg208,0x00000680,,,,,,,
FIELD,,,reg208_f1,[31:22],0,,,,
FIELD,,,reg208_f2,[21:12],0,,,,
FIELD,,,reg208_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg209,0x00000688,,,,,,,
FIELD,,,reg209_f1,31,1,,,,
FIELD,,,reg209_f2,30,1,,,,
FIELD,,,reg209_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg210,0x00000690,,,,,,,
FIELD,,,reg210_f1,[31:30],2'b0,RO,,,
FIELD,,,reg210_f2,29,1,RO,,,
FIELD,,,reg210_f3,28,1,RO,,,
FIELD,,,reg210_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg211,0x00000698,,,,,,,
FIELD,,,reg211_f1,[31:28],4'b0,,,,
FIELD,,,reg211_f2,27,1'b0,,,,
FIELD,,,reg211_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg212,0x000006a0,,,,,,,
FIELD,,,reg212_f1,[31:30],1'b1,RO,,,
FIELD,,,reg212_f2,[29:15],0,,,,
FIELD,,,reg212_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg213,0x000006a8,,,,,,,
FIELD,,,reg213_f1,[31:16],1'b1,,,,
FIELD,,,reg213_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg214,0x000006b0,,,,,,,
FIELD,,,reg214_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg215,0x000006b8,,,,,,,
FIELD,,,reg215_f1,31,0,,,,
FIELD,,,reg215_f2,[28:26],2,,,,
FIELD,,,reg215_f3,[25:19],83,,,,
FIELD,,,reg215_f4,[18:6],3072,,,,
FIELD,,,reg215_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg216,0x000006c0,,,,,,,
FIELD,,,reg216_f1,31,0,,,,
FIELD,,,reg216_f2,30,1,,,,
FIELD,,,reg216_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg217,0x000006c8,,,,,,,
FIELD,,,reg217_f1,[31:24],0,WO,,,
FIELD,,,reg217_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg218,0x000006d0,,,,,,,
FIELD,,,reg218_f1,[31:22],0,,,,
FIELD,,,reg218_f2,[21:12],0,,,,
FIELD,,,reg218_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg219,0x000006d8,,,,,,,
FIELD,,,reg219_f1,31,1,,,,
FIELD,,,reg219_f2,30,1,,,,
FIELD,,,reg219_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg220,0x000006e0,,,,,,,
FIELD,,,reg220_f1,[31:30],2'b0,RO,,,
FIELD,,,reg220_f2,29,1,RO,,,
FIELD,,,reg220_f3,28,1,RO,,,
FIELD,,,reg220_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg221,0x000006e8,,,,,,,
FIELD,,,reg221_f1,[31:28],4'b0,,,,
FIELD,,,reg221_f2,27,1'b0,,,,
FIELD,,,reg221_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg222,0x000006f0,,,,,,,
FIELD,,,reg222_f1,[31:30],1'b1,RO,,,
FIELD,,,reg222_f2,[29:15],0,,,,
FIELD,,,reg222_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg223,0x000006f8,,,,,,,
FIELD,,,reg223_f1,[31:16],1'b1,,,,
FIELD,,,reg223_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg224,0x00000700,,,,,,,
FIELD,,,reg224_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg225,0x00000708,,,,,,,
FIELD,,,reg225_f1,31,0,,,,
FIELD,,,reg225_f2,[28:26],2,,,,
FIELD,,,reg225_f3,[25:19],83,,,,
FIELD,,,reg225_f4,[18:6],3072,,,,
FIELD,,,reg225_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg226,0x00000710,,,,,,,
FIELD,,,reg226_f1,31,0,,,,
FIELD,,,reg226_f2,30,1,,,,
FIELD,,,reg226_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg227,0x00000718,,,,,,,
FIELD,,,reg227_f1,[31:24],0,WO,,,
FIELD,,,reg227_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg228,0x00000720,,,,,,,
FIELD,,,reg228_f1,[31:22],0,,,,
FIELD,,,reg228_f2,[21:12],0,,,,
FIELD,,,reg228_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg229,0x00000728,,,,,,,
FIELD,,,reg229_f1,31,1,,,,
FIELD,,,reg229_f2,30,1,,,,
FIELD,,,reg229_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg230,0x00000730,,,,,,,
FIELD,,,reg230_f1,[31:30],2'b0,RO,,,
FIELD,,,reg230_f2,29,1,RO,,,
FIELD,,,reg230_f3,28,1,RO,,,
FIELD,,,reg230_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg231,0x00000738,,,,,,,
FIELD,,,reg231_f1,[31:28],4'b0,,,,
FIELD,,,reg231_f2,27,1'b0,,,,
FIELD,,,reg231_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg232,0x00000740,,,,,,,
FIELD,,,reg232_f1,[31:30],1'b1,RO,,,
FIELD,,,reg232_f2,[29:15],0,,,,
FIELD,,,reg232_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg233,0x00000748,,,,,,,
FIELD,,,reg233_f1,[31:16],1'b1,,,,
FIELD,,,reg233_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg234,0x00000750,,,,,,,
FIELD,,,reg234_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg235,0x00000758,,,,,,,
FIELD,,,reg235_f1,31,0,,,,
FIELD,,,reg235_f2,[28:26],2,,,,
FIELD,,,reg235_f3,[25:19],83,,,,
FIELD,,,reg235_f4,[18:6],3072,,,,
FIELD,,,reg235_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg236,0x00000760,,,,,,,
FIELD,,,reg236_f1,31,0,,,,
FIELD,,,reg236_f2,30,1,,,,
FIELD,,,reg236_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg237,0x00000768,,,,,,,
FIELD,,,reg237_f1,[31:24],0,WO,,,
FIELD,,,reg237_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg238,0x00000770,,,,,,,
FIELD,,,reg238_f1,[31:22],0,,,,
FIELD,,,reg238_f2,[21:12],0,,,,
FIELD,,,reg238_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg239,0x00000778,,,,,,,
FIELD,,,reg239_f1,31,1,,,,
FIELD,,,reg239_f2,30,1,,,,
FIELD,,,reg239_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg240,0x00000780,,,,,,,
FIELD,,,reg240_f1,[31:30],2'b0,RO,,,
FIELD,,,reg240_f2,29,1,RO,,,
FIELD,,,reg240_f3,28,1,RO,,,
FIELD,,,reg240_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg241,0x00000788,,,,,,,
FIELD,,,reg241_f1,[31:28],4'b0,,,,
FIELD,,,reg241_f2,27,1'b0,,,,
FIELD,,,reg241_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg242,0x00000790,,,,,,,
FIELD,,,reg242_f1,[31:30],1'b1,RO,,,
FIELD,,,reg242_f2,[29:15],0,,,,
FIELD,,,reg242_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg243,0x00000798,,,,,,,
FIELD,,,reg243_f1,[31:16],1'b1,,,,
FIELD,,,reg243_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg244,0x000007a0,,,,,,,
FIELD,,,reg244_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg245,0x000007a8,,,,,,,
FIELD,,,reg245_f1,31,0,,,,
FIELD,,,reg245_f2,[28:26],2,,,,
FIELD,,,reg245_f3,[25:19],83,,,,
FIELD,,,reg245_f4,[18:6],3072,,,,
FIELD,,,reg245_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg246,0x000007b0,,,,,,,
FIELD,,,reg246_f1,31,0,,,,
FIELD,,,reg246_f2,30,1,,,,
FIELD,,,reg246_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg247,0x000007b8,,,,,,,
FIELD,,,reg247_f1,[31:24],0,WO,,,
FIELD,,,reg247_f2,[23:0],0,WO,,,
#,,,,,,,,,
REGISTER,reg248,0x000007c0,,,,,,,
FIELD,,,reg248_f1,[31:22],0,,,,
FIELD,,,reg248_f2,[21:12],0,,,,
FIELD,,,reg248_f3,[11:0],0,,,,
#,,,,,,,,,
REGISTER,reg249,0x000007c8,,,,,,,
FIELD,,,reg249_f1,31,1,,,,
FIELD,,,reg249_f2,30,1,,,,
FIELD,,,reg249_f3,[29:0],32,,,,
#,,,,,,,,,
REGISTER,reg250,0x000007d0,,,,,,,
FIELD,,,reg250_f1,[31:30],2'b0,RO,,,
FIELD,,,reg250_f2,29,1,RO,,,
FIELD,,,reg250_f3,28,1,RO,,,
FIELD,,,reg250_f4,[27:0],28'b0,,,,
#,,,,,,,,,
REGISTER,reg251,0x000007d8,,,,,,,
FIELD,,,reg251_f1,[31:28],4'b0,,,,
FIELD,,,reg251_f2,27,1'b0,,,,
FIELD,,,reg251_f3,[26:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg252,0x000007e0,,,,,,,
FIELD,,,reg252_f1,[31:30],1'b1,RO,,,
FIELD,,,reg252_f2,[29:15],0,,,,
FIELD,,,reg252_f3,[14:0],0,,,,
#,,,,,,,,,
REGISTER,reg253,0x000007e8,,,,,,,
FIELD,,,reg253_f1,[31:16],1'b1,,,,
FIELD,,,reg253_f2,[15:0],66,,,,
#,,,,,,,,,
REGISTER,reg254,0x000007f0,,,,,,,
FIELD,,,reg254_f1,[31:0],0,,,,
#,,,,,,,,,
REGISTER,reg255,0x000007f8,,,,,,,
FIELD,,,reg255_f1,31,0,,,,
FIELD,,,reg255_f2,[28:26],2,,,,
FIELD,,,reg255_f3,[25:19],83,,,,
FIELD,,,reg255_f4,[18:6],3072,,,,
FIELD,,,reg255_f5,[5:0],36,,,,
#,,,,,,,,,
REGISTER,reg256,0x00000800,,,,,,,
FIELD,,,reg256_f1,31,0,,,,
FIELD,,,reg256_f2,30,1,,,,
FIELD,,,reg256_f3,[29:0],1'b1,,,,
#,,,,,,,,,
REGISTER,reg257,0x00000808,,,,,,,
